,no_neurons,electrode,correlation_coeff,inh_type,exc_type
0,10,0,-0.02709443835387897,FS,CH
1,10,1,-0.017714619705989237,FS,CH
2,10,2,-0.026245058105926432,FS,CH
3,10,3,-0.0016710413944279825,FS,CH
4,10,4,-0.001013382535451411,FS,CH
5,10,5,-0.02117817605803216,FS,CH
6,10,6,-0.03594416120566208,FS,CH
7,10,7,0.009327109077423942,FS,CH
8,10,8,-0.03017661286576823,FS,CH
9,10,9,-0.011224092658158451,FS,CH
10,10,10,0.020594925292254655,FS,CH
11,10,11,0.00409402855523599,FS,CH
12,10,12,-0.015495088100589152,FS,CH
13,10,13,-0.0017865429444909018,FS,CH
14,10,14,-0.0047645130099964106,FS,CH
15,10,15,-0.0005221229880034281,FS,CH
16,10,16,0.00024158201184892544,FS,CH
17,10,17,0.014141297886100848,FS,CH
18,10,18,-0.013113402522228397,FS,CH
19,10,19,-0.016414650565737456,FS,CH
20,10,20,-0.004271191005570275,FS,CH
21,10,21,0.016767233795126343,FS,CH
22,10,0,-0.03656167765879084,LTS,RS
23,10,1,-0.030347581242449025,LTS,RS
24,10,2,-0.03786042074048656,LTS,RS
25,10,3,-0.010415375153109498,LTS,RS
26,10,4,0.01088659021464787,LTS,RS
27,10,5,-0.028967013345731343,LTS,RS
28,10,6,-0.03597110048897529,LTS,RS
29,10,7,0.00045017691219494235,LTS,RS
30,10,8,-0.03167537107778229,LTS,RS
31,10,9,-0.015225198600008122,LTS,RS
32,10,10,0.005370178607464661,LTS,RS
33,10,11,-0.0005545272567949541,LTS,RS
34,10,12,-0.026960374025820966,LTS,RS
35,10,13,-0.011966292065244124,LTS,RS
36,10,14,-0.00879548150589224,LTS,RS
37,10,15,8.889213016588517e-05,LTS,RS
38,10,16,-0.009838234329009968,LTS,RS
39,10,17,0.009071063148233506,LTS,RS
40,10,18,-0.023100668680890928,LTS,RS
41,10,19,-0.01155789587431006,LTS,RS
42,10,20,0.0064158521548464175,LTS,RS
43,10,21,0.020926186299319787,LTS,RS
44,10,0,-0.026912766299974022,FS,RS
45,10,1,-0.01784217755612938,FS,RS
46,10,2,-0.025835807803826383,FS,RS
47,10,3,-0.0013445037985420523,FS,RS
48,10,4,-0.00047472582421385966,FS,RS
49,10,5,-0.021583307217875283,FS,RS
50,10,6,-0.03629137996732782,FS,RS
51,10,7,0.008969802505490558,FS,RS
52,10,8,-0.030149631489332644,FS,RS
53,10,9,-0.01139720446042665,FS,RS
54,10,10,0.020311102293498046,FS,RS
55,10,11,0.0034497118417146397,FS,RS
56,10,12,-0.016231422261361438,FS,RS
57,10,13,-0.0018445628877198,FS,RS
58,10,14,-0.004390987906800342,FS,RS
59,10,15,0.00031977233628301604,FS,RS
60,10,16,0.0005368380387246234,FS,RS
61,10,17,0.014837066118453836,FS,RS
62,10,18,-0.01337352919032489,FS,RS
63,10,19,-0.016287740139090442,FS,RS
64,10,20,-0.004085843329287266,FS,RS
65,10,21,0.016849618965015713,FS,RS
66,10,0,-0.026683031397387286,FS,CH
67,10,1,-0.01754956023935549,FS,CH
68,10,2,-0.025731553006782357,FS,CH
69,10,3,-0.0011504352013140568,FS,CH
70,10,4,-0.00040052039334342106,FS,CH
71,10,5,-0.02128434381882174,FS,CH
72,10,6,-0.03577098925288701,FS,CH
73,10,7,0.00912382046680622,FS,CH
74,10,8,-0.029905375866643987,FS,CH
75,10,9,-0.010657006923574302,FS,CH
76,10,10,0.020089594437231406,FS,CH
77,10,11,0.003374054895124733,FS,CH
78,10,12,-0.015806991337078434,FS,CH
79,10,13,-0.0017608891166526917,FS,CH
80,10,14,-0.004774721738043242,FS,CH
81,10,15,-0.00031909797085129737,FS,CH
82,10,16,0.0007411485254155006,FS,CH
83,10,17,0.014229716326210073,FS,CH
84,10,18,-0.012853833095154237,FS,CH
85,10,19,-0.016271180419513573,FS,CH
86,10,20,-0.004175233803081901,FS,CH
87,10,21,0.016848599458709427,FS,CH
88,10,0,-0.045187953124589834,CH,FS
89,10,1,-0.03594392161198736,CH,FS
90,10,2,-0.047358177435418355,CH,FS
91,10,3,-0.010784112441845854,CH,FS
92,10,4,0.013498419716141404,CH,FS
93,10,5,-0.035392888949344836,CH,FS
94,10,6,-0.046282164522694964,CH,FS
95,10,7,0.003396709858524506,CH,FS
96,10,8,-0.04080470033396071,CH,FS
97,10,9,-0.018308341014792825,CH,FS
98,10,10,0.01027208223948073,CH,FS
99,10,11,0.0006433488682861351,CH,FS
100,10,12,-0.033531534106867864,CH,FS
101,10,13,-0.013439103777042915,CH,FS
102,10,14,-0.01070666562336061,CH,FS
103,10,15,0.00032482853112885746,CH,FS
104,10,16,-0.009660699201339065,CH,FS
105,10,17,0.013846998132779651,CH,FS
106,10,18,-0.027908637480409802,CH,FS
107,10,19,-0.016021519860872583,CH,FS
108,10,20,0.005144756755038548,CH,FS
109,10,21,0.02484386025024135,CH,FS
110,10,0,-0.04498765755149544,CH,RS
111,10,1,-0.035790529155730486,CH,RS
112,10,2,-0.04727520857693095,CH,RS
113,10,3,-0.010677798281026066,CH,RS
114,10,4,0.013896911861318827,CH,RS
115,10,5,-0.03522838947573538,CH,RS
116,10,6,-0.04611743005443485,CH,RS
117,10,7,0.0033348203591709344,CH,RS
118,10,8,-0.04073389500445296,CH,RS
119,10,9,-0.018153116139461793,CH,RS
120,10,10,0.01017358433192438,CH,RS
121,10,11,0.0005235140974114827,CH,RS
122,10,12,-0.03358253691147652,CH,RS
123,10,13,-0.013527864316860445,CH,RS
124,10,14,-0.010717421989589379,CH,RS
125,10,15,0.0004478528105899206,CH,RS
126,10,16,-0.009567435525906413,CH,RS
127,10,17,0.013820748439980416,CH,RS
128,10,18,-0.027862007016942813,CH,RS
129,10,19,-0.01581851914537417,CH,RS
130,10,20,0.005263043652956771,CH,RS
131,10,21,0.024874695013899453,CH,RS
132,10,0,-0.03926248836430902,RS,RS
133,10,1,-0.034831187403009695,RS,RS
134,10,2,-0.04061242993574666,RS,RS
135,10,3,-0.01514824597583374,RS,RS
136,10,4,0.007938453961370582,RS,RS
137,10,5,-0.029943118049612364,RS,RS
138,10,6,-0.034812545171076736,RS,RS
139,10,7,-0.0045653624614543815,RS,RS
140,10,8,-0.03377524481049745,RS,RS
141,10,9,-0.01749755128103611,RS,RS
142,10,10,-0.0015294794476330405,RS,RS
143,10,11,-0.001476704299035648,RS,RS
144,10,12,-0.030459937257877583,RS,RS
145,10,13,-0.018380105944232228,RS,RS
146,10,14,-0.012847346107680105,RS,RS
147,10,15,-0.0017116087335569598,RS,RS
148,10,16,-0.014811740673466687,RS,RS
149,10,17,0.004830810377920059,RS,RS
150,10,18,-0.025960032188903148,RS,RS
151,10,19,-0.011022233487419009,RS,RS
152,10,20,0.008039841347901732,RS,RS
153,10,21,0.02258752510206908,RS,RS
154,10,0,-0.03968405534343219,RS,FS
155,10,1,-0.035061087387893784,RS,FS
156,10,2,-0.041385991320276865,RS,FS
157,10,3,-0.015365166419963718,RS,FS
158,10,4,0.007410755801321874,RS,FS
159,10,5,-0.02907362826100007,RS,FS
160,10,6,-0.035733731353312294,RS,FS
161,10,7,-0.004518038469789629,RS,FS
162,10,8,-0.03451435492574951,RS,FS
163,10,9,-0.01781865075321093,RS,FS
164,10,10,-0.002101380344986299,RS,FS
165,10,11,-0.0012134216011372245,RS,FS
166,10,12,-0.03121277133870202,RS,FS
167,10,13,-0.018473180648165645,RS,FS
168,10,14,-0.012619095209005603,RS,FS
169,10,15,-0.0011315076417211488,RS,FS
170,10,16,-0.015083742526856563,RS,FS
171,10,17,0.00461660388366175,RS,FS
172,10,18,-0.026541597563913673,RS,FS
173,10,19,-0.01044656865450455,RS,FS
174,10,20,0.007447952786520618,RS,FS
175,10,21,0.022694306800673462,RS,FS
176,10,0,-0.03704183685779062,LTS,CH
177,10,1,-0.030797436416923608,LTS,CH
178,10,2,-0.03848642932041307,LTS,CH
179,10,3,-0.010812691254701898,LTS,CH
180,10,4,0.011053195445129158,LTS,CH
181,10,5,-0.029199320879711433,LTS,CH
182,10,6,-0.03600713852473498,LTS,CH
183,10,7,0.00033573794539943833,LTS,CH
184,10,8,-0.03183926418555101,LTS,CH
185,10,9,-0.015276366848840062,LTS,CH
186,10,10,0.004904372516559896,LTS,CH
187,10,11,-0.00041885245197319134,LTS,CH
188,10,12,-0.027279326012825983,LTS,CH
189,10,13,-0.012175232774936,LTS,CH
190,10,14,-0.008964276450134279,LTS,CH
191,10,15,0.00026559195748646286,LTS,CH
192,10,16,-0.010265793165269287,LTS,CH
193,10,17,0.008577524089570814,LTS,CH
194,10,18,-0.02338236026304484,LTS,CH
195,10,19,-0.011253331499038212,LTS,CH
196,10,20,0.006586630903180951,LTS,CH
197,10,21,0.02102322876617366,LTS,CH
